generation,deck_uid,win_rate
0,ipAEsdrmcrvhDfsxkAuwkoxlhnAegr,1
0,thqhmotinptjzciBqCdhneCDAkgouj,5
0,igqewckudcxDoqxrBucyCuqdirogvv,3
0,afdClEjxyhkmpxxmpzwfxCChgmoDjd,0
0,uvCBullBhAaspaexlowenAhmEfqxof,2
0,EkzzjEujmxCbqtrxDeaqrmntAuyzcf,2
0,avnesngniyflCsnEicyulEqhnwgmbA,0
0,syknwkCfACftcurynmxfigoxddjkBy,1
0,uevkhDswfbhjEucymblitrsumEtkwm,5
0,opCczzjjgApadwfyojrBssgnivaezt,2
0,AbhvmBaziwygcuwzACbrxwdEerdchE,3
0,yjjlxvifBDBtCygvyzlDpufhpggbwd,0
0,sAnsEnwzuiwqaoCmkijhvDomfivCmd,0
0,EjvfcysEBpjceriDoogrpErCdxCovd,0
0,ldvpfjfqqklqwxmElxheexwgmihggf,2
0,mzeccrpyEonlqnhCcwejbqrkhwejbC,3
0,nAgyeEhazDdosckEazlujdoehwmomy,3
0,CBnpEuvopllnruhhrpotkmvEaDDAmz,0
0,oykjtuqAireupvjiheDtehDjbxuiBe,5
0,hrbkxDyAnowoDoyfcggjkouEsxazia,3
0,rhecdjxiiucqqlswzgBmaoqDyqnynE,1
0,kxeEsrigaymyDpvvmjlrxptswhexmp,2
0,oEybBpchvenftsqkrBcordpoEerkgB,4
0,tpgbvvcgxahniCDmaomvuDsoiExaad,1
0,hhrcEzpkwfovByjpjqxiygpxBsDzes,0
0,nDBwxudzCCqmpmwdADrkswcqdqeocx,3
0,AqpfyfrksaonBjomgxgjefqdqevavn,0
0,cpdhlqEECsuvhxCrcaquimejqbCyBz,2
0,rxyAfysAcxwAzsamjsqsBfawAglqdr,0
0,qdEarDnzABwCgvkBauyxEAnbmEqots,0
0,onraqwmtAirnrjwiBlqsrEBzgzxtfq,1
0,spcciezuaffsADptzfooxaqwalbAye,4
0,kymAuuApCkCptotwCcyAevogxqCuBt,1
0,pxCukydwycaqpAwrxzdjtnthvDyiBe,1
0,yjszmkwmjsxfrEpxgxfravjDovEoda,0
0,vEzhbyxdhkbBmsyfmgkfvnllwadgwb,0
0,mqyDagsfnmxCtowxhoftEEDoqcrhBp,0
0,DbrBkphsAiypxrrdEtzdnmAbDqEltE,0
0,ghtcnEauglycfmsomubrvhrkxxcaus,2
0,qDDtCDglysErwrwjddwrzbunmhicnB,0
0,weooytsgutldquqnCkdznxtdbihcgu,1
0,xhpbBAmyDgwbEgjcsiDbggfgmdCxjg,0
0,wpEoBBgerqDvzfstpxgqzrtAmnozcg,0
0,ohqwkynfsnljozldxCwcvdDcxscsAi,3
0,ugjbcuBxmvklbnqqjmtjkqkokqBine,6
0,giAwtkhvAmzvEgkrpzzkbyDpzvgBCy,0
0,zyfCDrgxgpehppmvpcklmavsthCjit,0
0,epccwqqaeskzEmzksaioeDgDntmvqm,7
0,muccAmfnBkeiwkhDlAskgeqvomwoBl,3
0,xmkiswcqoirofCDamsqByBDyjCoCbl,1
0,fADEbcapmcjqspCxkDCllusxwvsbyo,1
0,pqoavDgbpiztmzaAamxwrelsBeAtsr,3
0,BDtqBCftlcnuwcDqmjyfvBnsqlCvff,0
0,ojowhsjuqhxhAgvxebybEfghawbhfz,3
0,mncyiypfynmnqvuBegoqmDhDpxBbih,2
0,onhrEEBdblimuicaCiEudxgqiEfvbe,0
0,CBareoDClxvoeqfbbthDdzpCDsimob,4
0,pvskrlElbElcpxoEdavhwDEbdstfln,0
0,kdnesqgEbouyAtfdbnixswaqdfBDmk,2
0,xikyujgprtnCrEtqihgbuaskloofwf,2
0,yvbcubcDlwElyxtvggbCyulxtsBcrB,0
0,AhfhyqhxAAhqDeDhtznACgqsaxpzBu,0
0,iuAnaituhagmCjbpfqvhgowricardv,1
