generation,deck_uid,win_rate
0,gcdcjdiabtmaejjjubglqdqcdblerb,1
0,cutjqkupjibblnkklbpimemarnuiaa,0
0,etrhihskhlsuascabhfmfaaapoehsl,1
0,jeqnkebkbbjfjbqcrupogjqodhsuke,0
0,psqffbdjgqfseeconbcaamldgohrat,5
0,qthqrbminnknsnsraepkqbdomnfsrq,2
0,mmgkjlqfiqjtlsbgrbuhahcbpfuqdn,1
0,jpqffottqhqjfifnliqslqsthtsnje,1
0,rmiiptgdddnfllrpdbbieiinjcqsko,3
0,ngukqtlaoqimsopfqmbhkebdaabpme,1
0,jtenqajrradoiclgakdnsndljgueec,2
0,hfeaulktjjsjjimptuehgqcpmohtoi,1
0,slpngccackkukcqjcdiodiqhdnhejl,4
0,nracigihlbrjtsstenelpmaphhlklq,4
0,jjgppdfidtecipqohesjblnhgejqum,2
0,sosnriupfthalhisesrnpscebdormp,2
0,qiipourqdmsothpuianjmkkolrgqdr,0
0,hniclbsgtutnojcknbjjkoqdlrhfsh,4
0,bseanbpqlforpebiagrgeasjkdheqa,1
0,abgmfmndkjusrgeanpirtnnindsqlb,1
0,tietjqeamciilaedbecopreetitthd,2
0,bhfmcghuddknfihpjghrdqqlrrsfao,2
0,fbgdqllisorcbrdllkuirppobfqfsi,3
0,fjtrecpqdbtuumujtdebpldbbopqqh,1
0,eigtrmrufkcsjmshgijlcfknhnpqsa,2
0,kbddtpbjdgtnsurpedmosrrentbmdp,1
0,hfkbfabulgjfkfbjhlqcbhjnsqoisd,1
0,kjjcftnibiboamfiqegqbakkfhaist,2
0,rdqkhgbnipsorjropcagkbnaoesrnq,0
0,atuaadlkiqfoffkjnjphflcacsfjkj,2
0,qcrflkcojgbblbfkjnrftqckdjjrdo,0
0,gbqttcqhstnedataaskfgtfeaqkjqu,0
0,ghmkistbpahheirapmujeschsriiht,3
0,sfnuprkbhtusfqkqfrnutqthtbumgm,0
0,siakreqikghsdjkhilfshddbsnlnei,3
0,prlndkamojqcjpodpfcdkodbutgtpg,0
0,escorgseceiuotkgltnbkaslocoria,4
0,pggicolbufcrrmntujqnudjhciocpi,4
0,ppnuejtcdsffemtastgprkkurugkfd,0
0,urmjjdhdigucbgcenpdtnahhpcphun,4
0,acnkalaflcqreegfopsjtkachjenbe,4
0,tbsbnomkmnoskqqmjlpofgdfgbfiri,1
